 ,Label,Area,Perim.,Feret,FeretX,FeretY,FeretAngle,MinFeret
1,2015-07-31-20150731DJ-52-B.tif,1.468E-1,1.589E0,6.171E-1,9.647E1,9.681E1,1.209E1,3.660E-1
2,2015-08-01-20150731DJ-18-B.tif,1.598E-1,1.432E0,5.208E-1,8.616E1,9.841E1,1.556E2,4.310E-1
3,2015-08-01-20150731DJ-40-B.tif,1.691E-1,1.980E0,7.674E-1,8.267E1,9.638E1,3.816E1,4.482E-1
4,2015-08-01-20150731DJ-44-B.tif,2.062E-1,1.787E0,6.815E-1,8.599E1,9.655E1,1.084E2,4.741E-1
5,2015-08-01-20150731DJ-44-B.tif,1.616E-1,2.773E0,1.003E0,8.310E1,9.797E1,6.454E1,4.433E-1
6,2015-08-01-20150731DJ-49-B.tif,2.229E-1,1.970E0,8.018E-1,8.556E1,9.060E1,5.375E1,4.166E-1
7,2015-08-01-20150731DJ-49-B.tif,1.449E-1,1.406E0,4.915E-1,8.621E1,9.513E1,1.053E2,4.310E-1
8,2015-08-01-20150731DJ-52-B.tif,2.638E-1,2.020E0,8.291E-1,8.319E1,9.966E1,1.710E2,4.310E-1
9,2015-08-02-20150731DJ-10-B.jpg.resampled.tif,1.746E-1,1.614E0,5.863E-1,8.759E1,1.006E2,1.629E2,4.231E-1
10,2015-08-02-20150731DJ-10-B.jpg.resampled.tif,2.954E-1,2.249E0,8.556E-1,8.573E1,1.027E2,1.391E2,5.433E-1
11,2015-08-02-20150731DJ-18-B.jpg.resampled.tif,2.991E-1,2.096E0,7.340E-1,8.431E1,1.011E2,4.024E1,6.034E-1
12,2015-08-02-20150731DJ-23-B.jpg.resampled.tif,1.523E-1,1.715E0,6.364E-1,8.211E1,1.025E2,6.170E1,3.817E-1
13,2015-08-02-20150731DJ-24-B.jpg.resampled.tif,1.449E-1,1.675E0,5.520E-1,8.621E1,9.220E1,1.287E2,4.050E-1
14,2015-08-02-20150731DJ-34-B.jpg.resampled.tif,4.162E-1,2.935E0,1.042E0,8.892E1,9.272E1,1.556E2,6.466E-1
15,2015-08-02-20150731DJ-38-B.jpg.resampled.tif,1.932E-1,2.249E0,7.174E-1,8.608E1,8.961E1,5.726E1,4.449E-1
16,2015-08-02-20150731DJ-39-B.jpg.resampled.tif,2.174E-1,1.726E0,6.466E-1,8.638E1,8.909E1,1.269E2,4.954E-1
17,2015-08-02-20150731DJ-39-B.jpg.resampled.tif,1.375E-1,1.381E0,5.027E-1,8.599E1,9.375E1,1.210E2,4.141E-1
18,2015-08-02-20150731DJ-40-B.jpg.resampled.tif,5.834E-1,5.081E0,1.581E0,8.151E1,1.009E2,6.413E1,8.109E-1
19,2015-08-02-20150731DJ-40-B.jpg.resampled.tif,1.022E-1,1.234E0,4.915E-1,8.056E1,1.016E2,3.787E1,3.086E-1
20,2015-08-02-20150731DJ-41-B.jpg.resampled.tif,1.245E-1,1.762E0,5.603E-1,8.556E1,9.591E1,1.126E2,3.819E-1
21,2015-08-02-20150731DJ-41-B.jpg.resampled.tif,1.784E-1,2.346E0,8.674E-1,8.362E1,9.629E1,1.534E2,3.308E-1
22,2015-08-02-20150731DJ-43-B.jpg.resampled.tif,1.152E-1,1.762E0,6.004E-1,8.121E1,9.608E1,1.590E2,3.879E-1
23,2015-08-02-20150731DJ-43-B.jpg.resampled.tif,1.709E-1,1.614E0,6.004E-1,7.853E1,9.996E1,6.896E1,4.601E-1
24,2015-08-02-20150731DJ-44-B.jpg.resampled.tif,2.620E-1,1.873E0,6.964E-1,8.534E1,1.020E2,1.118E2,5.172E-1
25,2015-08-02-20150731DJ-44-B.jpg.resampled.tif,3.902E-1,3.092E0,1.081E0,8.241E1,1.035E2,6.650E1,5.764E-1
26,2015-08-02-20150731DJ-49-B.jpg.resampled.tif,4.236E-1,2.609E0,9.829E-1,8.543E1,8.828E1,5.213E1,7.010E-1
27,2015-08-02-20150731DJ-49-B.jpg.resampled.tif,2.675E-1,1.959E0,6.815E-1,8.651E1,9.323E1,7.157E1,5.603E-1
28,2015-08-02-20150731DJ-50-B.jpg.resampled.tif,2.304E-1,1.787E0,6.691E-1,8.384E1,8.522E1,1.651E2,4.741E-1
29,2015-08-02-20150731DJ-51-B.jpg.resampled.tif,2.397E-1,2.142E0,7.540E-1,7.974E1,1.021E2,1.490E2,5.541E-1
30,2015-08-02-20150731DJ-51-B.jpg.resampled.tif,3.734E-1,2.422E0,8.178E-1,8.349E1,1.050E2,7.157E1,6.897E-1
31,2015-08-02-20150731DJ-52-B.jpg.resampled.tif,3.567E-1,2.325E0,8.886E-1,8.384E1,9.724E1,1.660E2,5.882E-1
32,2015-08-02-20150731DJ-54-B.jpg.resampled.tif,2.880E-1,2.264E0,7.924E-1,8.328E1,9.142E1,2.238E1,5.172E-1
33,2015-08-02-20150731DJ-54-B.jpg.resampled.tif,1.505E-1,1.467E0,6.216E-1,7.858E1,9.375E1,1.463E2,3.657E-1
34,2015-08-03-20150731DJ-10-B.tif,3.641E-1,2.396E0,8.291E-1,8.284E1,9.746E1,1.521E2,6.705E-1
35,2015-08-03-20150731DJ-10-B.tif,1.876E-1,1.650E0,6.004E-1,7.823E1,9.793E1,2.104E1,4.850E-1
36,2015-08-03-20150731DJ-10-B.tif,5.667E-1,2.996E0,1.052E0,8.095E1,9.922E1,1.250E2,7.924E-1
37,2015-08-03-20150731DJ-12-B.tif,2.099E-1,1.762E0,6.408E-1,8.198E1,1.012E2,7.035E1,5.172E-1
38,2015-08-03-20150731DJ-18-B.tif,7.859E-1,3.635E0,1.148E0,7.866E1,1.049E2,3.429E1,9.914E-1
39,2015-08-03-20150731DJ-20-B.tif,1.263E-1,1.284E0,4.915E-1,7.759E1,9.957E1,3.787E1,3.868E-1
40,2015-08-03-20150731DJ-23-B.tif,1.876E-1,1.655E0,6.579E-1,7.634E1,1.004E2,5.839E1,4.226E-1
41,2015-08-03-20150731DJ-24-B.tif,1.969E-1,1.650E0,6.126E-1,7.616E1,9.914E1,1.293E2,4.572E-1
42,2015-08-03-20150731DJ-30-B.tif,2.155E-1,2.909E0,1.161E0,7.871E1,1.009E2,1.213E2,3.925E-1
43,2015-08-03-20150731DJ-34-B.tif,1.302E0,5.117E0,1.595E0,7.823E1,9.582E1,1.611E2,1.357E0
44,2015-08-03-20150731DJ-35-B.tif,7.079E-1,3.458E0,1.171E0,8.065E1,1.003E2,6.340E0,9.673E-1
45,2015-08-03-20150731DJ-38-B.tif,4.422E-1,2.813E0,9.214E-1,8.004E1,9.483E1,1.078E1,7.316E-1
46,2015-08-03-20150731DJ-38-B.tif,1.263E-1,1.284E0,4.819E-1,7.888E1,9.810E1,1.166E2,3.879E-1
47,2015-08-03-20150731DJ-39-B.tif,1.170E-1,1.310E0,5.027E-1,8.427E1,8.953E1,1.210E2,3.471E-1
